Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2017-12-18 14:15,Close entry(s) order Short,40945,1,40865,-410,-0.20,2520,1.23,-405,-0.20,-410,-0.04
1,Entry short,2017-12-18 10:30,Short,40865,1,40865,-410,-0.20,2520,1.23,-405,-0.20,-410,-0.04
2,Exit short,2017-12-19 18:20,Close entry(s) order Short,39585,1,40205,3090,1.54,6320,3.14,-2130,-1.06,2680,0.27
2,Entry short,2017-12-19 10:30,Short,40205,1,40205,3090,1.54,6320,3.14,-2130,-1.06,2680,0.27
3,Exit short,2017-12-20 12:40,Close entry(s) order Short,39015,1,38935,-410,-0.21,3620,1.86,-405,-0.21,2270,0.23
3,Entry short,2017-12-20 10:30,Short,38935,1,38935,-410,-0.21,3620,1.86,-405,-0.21,2270,0.23
4,Exit short,2017-12-21 15:30,EOD Exit,37265,1,37395,640,0.34,2770,1.48,-1780,-0.95,2910,0.29
4,Entry short,2017-12-21 10:30,Short,37395,1,37395,640,0.34,2770,1.48,-1780,-0.95,2910,0.29
5,Exit short,2017-12-27 15:30,EOD Exit,36315,1,37095,3890,2.10,4370,2.36,-180,-0.10,6800,0.68
5,Entry short,2017-12-27 10:30,Short,37095,1,37095,3890,2.10,4370,2.36,-180,-0.10,6800,0.68
6,Exit short,2017-12-28 15:30,EOD Exit,35625,1,35960,1665,0.93,4195,2.33,-480,-0.27,8465,0.85
6,Entry short,2017-12-28 10:30,Short,35960,1,35960,1665,0.93,4195,2.33,-480,-0.27,8465,0.85
7,Exit short,2018-01-02 10:45,Close entry(s) order Short,35545,1,35465,-410,-0.23,0,0.00,-405,-0.23,8055,0.81
7,Entry short,2018-01-02 10:30,Short,35465,1,35465,-410,-0.23,0,0.00,-405,-0.23,8055,0.81
8,Exit short,2018-01-04 12:15,Close entry(s) order Short,36490,1,36340,-760,-0.42,395,0.22,-880,-0.48,7295,0.73
8,Entry short,2018-01-04 10:30,Short,36340,1,36340,-760,-0.42,395,0.22,-880,-0.48,7295,0.73
9,Exit short,2018-01-08 13:25,Close entry(s) order Short,36855,1,36395,-2310,-1.27,845,0.46,-2305,-1.27,4985,0.50
9,Entry short,2018-01-08 10:30,Short,36395,1,36395,-2310,-1.27,845,0.46,-2305,-1.27,4985,0.50
10,Exit short,2018-01-16 15:30,EOD Exit,33215,1,33735,2590,1.54,4070,2.41,-1855,-1.10,7575,0.76
10,Entry short,2018-01-16 10:30,Short,33735,1,33735,2590,1.54,4070,2.41,-1855,-1.10,7575,0.76
11,Exit short,2018-01-22 15:30,EOD Exit,32105,1,32245,690,0.43,1570,0.97,-955,-0.59,8265,0.83
