Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2010-10-20 16:45,EOD Exit,145.27,1,144.59,673,0.47,746.5,0.52,-223.5,-0.15,673,1.35
1,Entry long,2010-10-20 11:30,Long,144.59,1,144.59,673,0.47,746.5,0.52,-223.5,-0.15,673,1.35
2,Exit short,2010-10-21 16:45,EOD Exit,143.48,1,144.24,753,0.52,1386.5,0.96,-33.5,-0.02,1426,2.85
2,Entry short,2010-10-21 11:30,Short,144.24,1,144.24,753,0.52,1386.5,0.96,-33.5,-0.02,1426,2.85
3,Exit short,2010-10-25 14:25,Close entry(s) order Short,145.27,1,145.38,103,0.07,1166.5,0.80,-63.5,-0.04,1529,3.06
3,Entry short,2010-10-25 11:30,Short,145.38,1,145.38,103,0.07,1166.5,0.80,-63.5,-0.04,1529,3.06
4,Exit long,2010-10-26 12:45,Close entry(s) order Long,145.07,1,145.34,-277,-0.19,226.5,0.16,-293.5,-0.20,1252,2.50
4,Entry long,2010-10-26 11:30,Long,145.34,1,145.34,-277,-0.19,226.5,0.16,-293.5,-0.20,1252,2.50
5,Exit short,2010-10-27 11:50,Close entry(s) order Short,144.19,1,143.67,-527,-0.37,6.5,0.00,-543.5,-0.38,725,1.45
5,Entry short,2010-10-27 11:30,Short,143.67,1,143.67,-527,-0.37,6.5,0.00,-543.5,-0.38,725,1.45
6,Exit short,2010-11-01 11:45,Close entry(s) order Short,146.01,1,145.71,-307,-0.21,26.5,0.02,-343.5,-0.24,418,0.84
6,Entry short,2010-11-01 11:30,Short,145.71,1,145.71,-307,-0.21,26.5,0.02,-343.5,-0.24,418,0.84
7,Exit short,2010-11-03 12:30,Close entry(s) order Short,147.4,1,146.92,-487,-0.33,96.5,0.07,-493.5,-0.34,-69,-0.14
7,Entry short,2010-11-03 11:30,Short,146.92,1,146.92,-487,-0.33,96.5,0.07,-493.5,-0.34,-69,-0.14
8,Exit long,2010-11-05 11:35,Close entry(s) order Long,149.38,1,149.44,-67,-0.04,36.5,0.02,-113.5,-0.08,-136,-0.27
8,Entry long,2010-11-05 11:30,Long,149.44,1,149.44,-67,-0.04,36.5,0.02,-113.5,-0.08,-136,-0.27
9,Exit short,2010-11-09 11:40,Close entry(s) order Short,150,1,149.79,-217,-0.14,16.5,0.01,-253.5,-0.17,-353,-0.71
9,Entry short,2010-11-09 11:30,Short,149.79,1,149.79,-217,-0.14,16.5,0.01,-253.5,-0.17,-353,-0.71
10,Exit long,2010-11-10 16:45,EOD Exit,150.77,1,149.96,803,0.54,1006.5,0.67,-33.5,-0.02,450,0.90
10,Entry long,2010-11-10 11:30,Long,149.96,1,149.96,803,0.54,1006.5,0.67,-33.5,-0.02,450,0.90
11,Exit short,2010-11-12 16:45,EOD Exit,147.62,1,148.23,603,0.41,946.5,0.64,-173.5,-0.12,1053,2.11
11,Entry short,2010-11-12 11:30,Short,148.23,1,148.23,603,0.41,946.5,0.64,-173.5,-0.12,1053,2.11
12,Exit short,2010-11-15 11:45,Close entry(s) order Short,148.1,1,147.83,-277,-0.19,86.5,0.06,-303.5,-0.21,776,1.55
12,Entry short,2010-11-15 11:30,Short,147.83,1,147.83,-277,-0.19,86.5,0.06,-303.5,-0.21,776,1.55
13,Exit short,2010-11-16 16:45,EOD Exit,145.15,1,145.46,303,0.21,666.5,0.46,-283.5,-0.19,1079,2.16
13,Entry short,2010-11-16 11:30,Short,145.46,1,145.46,303,0.21,666.5,0.46,-283.5,-0.19,1079,2.16
14,Exit short,2010-11-18 11:35,Close entry(s) order Short,144.52,1,144.36,-167,-0.12,16.5,0.01,-163.5,-0.11,912,1.82
14,Entry short,2010-11-18 11:30,Short,144.36,1,144.36,-167,-0.12,16.5,0.01,-163.5,-0.11,912,1.82
15,Exit short,2010-11-22 13:35,Close entry(s) order Short,143.83,1,143.31,-527,-0.37,366.5,0.26,-633.5,-0.44,385,0.77
15,Entry short,2010-11-22 11:30,Short,143.31,1,143.31,-527,-0.37,366.5,0.26,-633.5,-0.44,385,0.77
16,Exit long,2010-11-24 16:45,EOD Exit,146.45,1,145.37,1073,0.74,1136.5,0.78,-23.5,-0.02,1458,2.92
16,Entry long,2010-11-24 11:30,Long,145.37,1,145.37,1073,0.74,1136.5,0.78,-23.5,-0.02,1458,2.92
17,Exit long,2010-11-25 18:10,Close entry(s) order Long,146.26,1,146.75,-497,-0.34,36.5,0.02,-493.5,-0.34,961,1.92
17,Entry long,2010-11-25 11:30,Long,146.75,1,146.75,-497,-0.34,36.5,0.02,-493.5,-0.34,961,1.92
18,Exit long,2010-11-29 16:45,EOD Exit,148.05,1,147.22,823,0.56,866.5,0.59,-153.5,-0.10,1784,3.57
18,Entry long,2010-11-29 11:30,Long,147.22,1,147.22,823,0.56,866.5,0.59,-153.5,-0.10,1784,3.57
19,Exit long,2010-12-02 16:45,EOD Exit,150.26,1,149.4,853,0.57,986.5,0.66,-113.5,-0.08,2637,5.27
19,Entry long,2010-12-02 11:30,Long,149.4,1,149.4,853,0.57,986.5,0.66,-113.5,-0.08,2637,5.27
20,Exit long,2010-12-03 16:45,EOD Exit,151.69,1,150.47,1213,0.81,1276.5,0.85,-73.5,-0.05,3850,7.70
20,Entry long,2010-12-03 11:30,Long,150.47,1,150.47,1213,0.81,1276.5,0.85,-73.5,-0.05,3850,7.70
21,Exit short,2010-12-07 16:45,EOD Exit,150.57,1,151.26,683,0.45,956.5,0.63,-83.5,-0.06,4533,9.07
21,Entry short,2010-12-07 11:30,Short,151.26,1,151.26,683,0.45,956.5,0.63,-83.5,-0.06,4533,9.07
22,Exit short,2010-12-08 11:45,Close entry(s) order Short,150.55,1,150.09,-467,-0.31,36.5,0.02,-473.5,-0.32,4066,8.13
22,Entry short,2010-12-08 11:30,Short,150.09,1,150.09,-467,-0.31,36.5,0.02,-473.5,-0.32,4066,8.13
23,Exit short,2010-12-09 12:10,Close entry(s) order Short,150.7,1,150.51,-197,-0.13,76.5,0.05,-253.5,-0.17,3869,7.74
23,Entry short,2010-12-09 11:30,Short,150.51,1,150.51,-197,-0.13,76.5,0.05,-253.5,-0.17,3869,7.74
24,Exit short,2010-12-10 16:45,EOD Exit,150.06,1,149.87,-197,-0.13,506.5,0.34,-413.5,-0.28,3672,7.34
24,Entry short,2010-12-10 11:30,Short,149.87,1,149.87,-197,-0.13,506.5,0.34,-413.5,-0.28,3672,7.34
25,Exit short,2010-12-13 14:15,Close entry(s) order Short,151,1,150.8,-207,-0.14,686.5,0.46,-203.5,-0.13,3465,6.93
25,Entry short,2010-12-13 11:30,Short,150.8,1,150.8,-207,-0.14,686.5,0.46,-203.5,-0.13,3465,6.93
26,Exit long,2010-12-15 16:45,EOD Exit,150.63,1,150.84,-217,-0.14,206.5,0.14,-273.5,-0.18,3248,6.50
26,Entry long,2010-12-15 11:30,Long,150.84,1,150.84,-217,-0.14,206.5,0.14,-273.5,-0.18,3248,6.50
27,Exit short,2010-12-16 11:40,Close entry(s) order Short,150.62,1,150.5,-127,-0.08,26.5,0.02,-133.5,-0.09,3121,6.24
27,Entry short,2010-12-16 11:30,Short,150.5,1,150.5,-127,-0.08,26.5,0.02,-133.5,-0.09,3121,6.24
28,Exit short,2010-12-17 11:35,Close entry(s) order Short,150.27,1,150.07,-207,-0.14,0,0.00,-203.5,-0.14,2914,5.83
28,Entry short,2010-12-17 11:30,Short,150.07,1,150.07,-207,-0.14,0,0.00,-203.5,-0.14,2914,5.83
29,Exit long,2010-12-21 13:35,Close entry(s) order Long,151.15,1,151.49,-347,-0.23,36.5,0.02,-373.5,-0.25,2567,5.13
29,Entry long,2010-12-21 11:30,Long,151.49,1,151.49,-347,-0.23,36.5,0.02,-373.5,-0.25,2567,5.13
30,Exit long,2010-12-23 16:45,EOD Exit,153.18,1,152.76,413,0.27,506.5,0.33,-103.5,-0.07,2980,5.96
30,Entry long,2010-12-23 11:30,Long,152.76,1,152.76,413,0.27,506.5,0.33,-103.5,-0.07,2980,5.96
31,Exit short,2010-12-30 16:45,EOD Exit,151.09,1,151.04,-57,-0.04,376.5,0.25,-493.5,-0.33,2923,5.85
31,Entry short,2010-12-30 11:30,Short,151.04,1,151.04,-57,-0.04,376.5,0.25,-493.5,-0.33,2923,5.85
32,Exit short,2011-01-04 16:45,EOD Exit,150.98,1,151.04,53,0.04,1036.5,0.69,-73.5,-0.05,2976,5.95
32,Entry short,2011-01-04 11:30,Short,151.04,1,151.04,53,0.04,1036.5,0.69,-73.5,-0.05,2976,5.95
33,Exit short,2011-01-06 16:45,EOD Exit,149.75,1,150.01,253,0.17,336.5,0.22,-563.5,-0.38,3229,6.46
33,Entry short,2011-01-06 11:30,Short,150.01,1,150.01,253,0.17,336.5,0.22,-563.5,-0.38,3229,6.46
34,Exit long,2011-01-11 16:45,EOD Exit,152.88,1,152.59,283,0.19,436.5,0.29,-493.5,-0.32,3512,7.02
34,Entry long,2011-01-11 11:30,Long,152.59,1,152.59,283,0.19,436.5,0.29,-493.5,-0.32,3512,7.02
35,Exit long,2011-01-13 13:35,Close entry(s) order Long,153.24,1,153.86,-627,-0.41,146.5,0.10,-703.5,-0.46,2885,5.77
35,Entry long,2011-01-13 11:30,Long,153.86,1,153.86,-627,-0.41,146.5,0.10,-703.5,-0.46,2885,5.77
36,Exit short,2011-01-17 22:35,Close entry(s) order Short,152.71,1,152.52,-197,-0.13,266.5,0.17,-193.5,-0.13,2688,5.38
36,Entry short,2011-01-17 11:30,Short,152.52,1,152.52,-197,-0.13,266.5,0.17,-193.5,-0.13,2688,5.38
37,Exit short,2011-01-21 14:10,Close entry(s) order Short,150.1,1,149.93,-177,-0.12,446.5,0.30,-203.5,-0.14,2511,5.02
37,Entry short,2011-01-21 11:30,Short,149.93,1,149.93,-177,-0.12,446.5,0.30,-203.5,-0.14,2511,5.02
38,Exit short,2011-01-25 16:45,EOD Exit,146.82,1,147.18,353,0.24,446.5,0.30,-213.5,-0.15,2864,5.73
38,Entry short,2011-01-25 11:30,Short,147.18,1,147.18,353,0.24,446.5,0.30,-213.5,-0.15,2864,5.73
39,Exit short,2011-01-27 16:45,EOD Exit,145.94,1,146.35,403,0.28,436.5,0.30,-733.5,-0.50,3267,6.53
39,Entry short,2011-01-27 11:30,Short,146.35,1,146.35,403,0.28,436.5,0.30,-733.5,-0.50,3267,6.53
40,Exit long,2011-01-28 16:45,EOD Exit,149.92,1,148.47,1443,0.97,1866.5,1.26,-213.5,-0.14,4710,9.42
40,Entry long,2011-01-28 11:30,Long,148.47,1,148.47,1443,0.97,1866.5,1.26,-213.5,-0.14,4710,9.42
41,Exit long,2011-01-31 16:45,EOD Exit,152.7,1,150.75,1943,1.29,2696.5,1.79,-183.5,-0.12,6653,13.31
