Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,1998-07-22,Close entry(s) order LongDip,1867.5,1,1893.25,-1291.5,-1.36,198,0.21,-1352,-1.43,-1291.5,-12.91
1,Entry long,1998-07-20,LongDip,1893.25,1,1893.25,-1291.5,-1.36,198,0.21,-1352,-1.43,-1291.5,-12.91
2,Exit long,1998-08-03,Close entry(s) order LongDip,1794,1,1856,-3104,-3.34,735.5,0.79,-3114.5,-3.36,-4395.5,-43.95
2,Entry long,1998-07-27,LongDip,1856,1,1856,-3104,-3.34,735.5,0.79,-3114.5,-3.36,-4395.5,-43.95
3,Exit long,1998-08-18,Close entry(s) order LongDip,1822.75,1,1791.5,1558.5,1.74,2085.5,2.33,-1164.5,-1.30,-2837,-28.37
3,Entry long,1998-08-10,LongDip,1791.5,1,1791.5,1558.5,1.74,2085.5,2.33,-1164.5,-1.30,-2837,-28.37
4,Exit long,1998-08-26,Close entry(s) order LongDip,1756,1,1815,-2954,-3.26,810.5,0.89,-3039.5,-3.35,-5791,-57.91
4,Entry long,1998-08-19,LongDip,1815,1,1815,-2954,-3.26,810.5,0.89,-3039.5,-3.35,-5791,-57.91
5,Exit long,1998-11-16,Close entry(s) order LongDip,1853.25,1,1846.75,321,0.35,1035.5,1.12,-927,-1.00,-5470,-54.70
5,Entry long,1998-11-08,LongDip,1846.75,1,1846.75,321,0.35,1035.5,1.12,-927,-1.00,-5470,-54.70
6,Exit long,1998-12-07,Close entry(s) order LongDip,1891.25,1,1872.75,921,0.98,1635.5,1.75,-664.5,-0.71,-4549,-45.49
6,Entry long,1998-11-29,LongDip,1872.75,1,1872.75,921,0.98,1635.5,1.75,-664.5,-0.71,-4549,-45.49
7,Exit long,1998-12-17,Close entry(s) order LongDip,1895,1,1876.75,908.5,0.97,1160.5,1.24,-1564.5,-1.67,-3640.5,-36.40
7,Entry long,1998-12-09,LongDip,1876.75,1,1876.75,908.5,0.97,1160.5,1.24,-1564.5,-1.67,-3640.5,-36.40
8,Exit long,1999-01-07,Close entry(s) order LongDip,1985.75,1,1940.25,2271,2.34,2435.5,2.51,-789.5,-0.81,-1369.5,-13.69
8,Entry long,1998-12-29,LongDip,1940.25,1,1940.25,2271,2.34,2435.5,2.51,-789.5,-0.81,-1369.5,-13.69
9,Exit long,1999-01-12,Close entry(s) order LongDip,1938,1,1972,-1704,-1.73,0,0.00,-1727,-1.75,-3073.5,-30.73
9,Entry long,1999-01-10,LongDip,1972,1,1972,-1704,-1.73,0,0.00,-1727,-1.75,-3073.5,-30.73
10,Exit long,1999-01-24,Close entry(s) order LongDip,1941.25,1,1917.75,1171,1.22,2385.5,2.49,-814.5,-0.85,-1902.5,-19.02
10,Entry long,1999-01-13,LongDip,1917.75,1,1917.75,1171,1.22,2385.5,2.49,-814.5,-0.85,-1902.5,-19.02
11,Exit long,1999-02-03,Close entry(s) order LongDip,1955.25,1,1952.5,133.5,0.14,1698,1.74,-14.5,-0.01,-1769,-17.69
11,Entry long,1999-01-26,LongDip,1952.5,1,1952.5,133.5,0.14,1698,1.74,-14.5,-0.01,-1769,-17.69
12,Exit long,1999-02-15,Close entry(s) order LongDip,1937.75,1,1942,-216.5,-0.22,1098,1.13,-1327,-1.37,-1985.5,-19.85
12,Entry long,1999-02-04,LongDip,1942,1,1942,-216.5,-0.22,1098,1.13,-1327,-1.37,-1985.5,-19.85
13,Exit long,1999-02-24,Close entry(s) order LongDip,1939.25,1,1927.25,596,0.62,2335.5,2.42,-14.5,-0.02,-1389.5,-13.89
13,Entry long,1999-02-16,LongDip,1927.25,1,1927.25,596,0.62,2335.5,2.42,-14.5,-0.02,-1389.5,-13.89
14,Exit long,1999-03-09,Close entry(s) order LongDip,1986.75,1,1926.25,3021,3.14,3085.5,3.20,-14.5,-0.02,1631.5,16.31
14,Entry long,1999-03-01,LongDip,1926.25,1,1926.25,3021,3.14,3085.5,3.20,-14.5,-0.02,1631.5,16.31
15,Exit long,1999-03-21,Close entry(s) order LongDip,1996.75,1,1989.5,358.5,0.36,1673,1.68,-127,-0.13,1990,19.90
15,Entry long,1999-03-11,LongDip,1989.5,1,1989.5,358.5,0.36,1673,1.68,-127,-0.13,1990,19.90
16,Exit long,1999-03-30,Close entry(s) order LongDip,1978.75,1,1957,1083.5,1.11,2623,2.68,-239.5,-0.24,3073.5,30.74
16,Entry long,1999-03-22,LongDip,1957,1,1957,1083.5,1.11,2623,2.68,-239.5,-0.24,3073.5,30.74
17,Exit long,1999-04-15,Close entry(s) order LongDip,2007.75,1,2043.25,-1779,-1.74,0,0.00,-2039.5,-2.00,1294.5,12.95
17,Entry long,1999-04-12,LongDip,2043.25,1,2043.25,-1779,-1.74,0,0.00,-2039.5,-2.00,1294.5,12.95
18,Exit long,1999-04-26,Close entry(s) order LongDip,2059.5,1,1985.5,3696,3.72,3810.5,3.84,-14.5,-0.01,4990.5,49.91
18,Entry long,1999-04-18,LongDip,1985.5,1,1985.5,3696,3.72,3810.5,3.84,-14.5,-0.01,4990.5,49.91
19,Exit long,1999-05-05,Close entry(s) order LongDip,2026.75,1,2042.75,-804,-0.79,135.5,0.13,-1952,-1.91,4186.5,41.87
19,Entry long,1999-04-27,LongDip,2042.75,1,2042.75,-804,-0.79,135.5,0.13,-1952,-1.91,4186.5,41.87
20,Exit long,1999-05-23,Close entry(s) order LongDip,1996.5,1,2024.5,-1404,-1.39,548,0.54,-1477,-1.46,2782.5,27.83
20,Entry long,1999-05-13,LongDip,2024.5,1,2024.5,-1404,-1.39,548,0.54,-1477,-1.46,2782.5,27.83
