Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2010-10-19 10:00,X_S,1597.25,1,1594.5,-141.5,-0.18,0,0.00,-164.5,-0.21,-141.5,-0.28
1,Entry short,2010-10-19 09:50,FL_S,1594.5,1,1594.5,-141.5,-0.18,0,0.00,-164.5,-0.21,-141.5,-0.28
2,Exit short,2010-10-21 15:00,X_S,1606.25,1,1609.5,158.5,0.20,523,0.65,-127,-0.16,17,0.03
2,Entry short,2010-10-21 11:35,FD_S,1609.5,1,1609.5,158.5,0.20,523,0.65,-127,-0.16,17,0.03
3,Exit long,2010-11-01 10:20,X_L,1621.5,1,1623.75,-116.5,-0.14,35.5,0.04,-114.5,-0.14,-99.5,-0.20
3,Entry long,2010-11-01 10:00,FL_L,1623.75,1,1623.75,-116.5,-0.14,35.5,0.04,-114.5,-0.14,-99.5,-0.20
4,Exit short,2010-11-02 15:45,EOD Flatten,1622.25,1,1619.5,-141.5,-0.17,73,0.09,-264.5,-0.33,-241,-0.48
4,Entry short,2010-11-02 10:10,FD_S,1619.5,1,1619.5,-141.5,-0.17,73,0.09,-264.5,-0.33,-241,-0.48
5,Exit long,2010-11-04 15:45,EOD Flatten,1647.5,1,1643.25,208.5,0.25,310.5,0.38,-77,-0.09,-32.5,-0.06
5,Entry long,2010-11-04 10:25,FL_L,1643.25,1,1643.25,208.5,0.25,310.5,0.38,-77,-0.09,-32.5,-0.06
6,Exit long,2010-11-09 10:35,X_L,1652.75,1,1654.75,-104,-0.13,85.5,0.10,-102,-0.12,-136.5,-0.27
6,Entry long,2010-11-09 10:00,FL_L,1654.75,1,1654.75,-104,-0.13,85.5,0.10,-102,-0.12,-136.5,-0.27
7,Exit long,2010-11-12 15:45,EOD Flatten,1628.75,1,1638.5,-491.5,-0.60,0,0.00,-764.5,-0.93,-628,-1.26
