Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2010-11-04 16:50,EOD Exit,1649.25,1,1645,208.5,0.25,273,0.33,-114.5,-0.14,208.5,0.42
1,Entry long,2010-11-04 11:30,Long,1645,1,1645,208.5,0.25,273,0.33,-114.5,-0.14,208.5,0.42
2,Exit long,2010-11-18 16:50,EOD Exit,1628.5,1,1629.25,-41.5,-0.05,73,0.09,-202,-0.25,167,0.33
2,Entry long,2010-11-18 11:30,Long,1629.25,1,1629.25,-41.5,-0.05,73,0.09,-202,-0.25,167,0.33
3,Exit long,2010-11-24 16:50,EOD Exit,1626.5,1,1626,21,0.03,160.5,0.20,-89.5,-0.11,188,0.38
3,Entry long,2010-11-24 11:30,Long,1626,1,1626,21,0.03,160.5,0.20,-89.5,-0.11,188,0.38
4,Exit long,2010-12-01 16:50,EOD Exit,1635.5,1,1632.25,158.5,0.19,360.5,0.44,-14.5,-0.02,346.5,0.69
4,Entry long,2010-12-01 11:30,Long,1632.25,1,1632.25,158.5,0.19,360.5,0.44,-14.5,-0.02,346.5,0.69
5,Exit long,2010-12-02 16:50,EOD Exit,1653.75,1,1650.25,171,0.21,235.5,0.29,-89.5,-0.11,517.5,1.03
5,Entry long,2010-12-02 11:30,Long,1650.25,1,1650.25,171,0.21,235.5,0.29,-89.5,-0.11,517.5,1.03
6,Exit long,2011-01-12 15:25,Close entry(s) order Long,1716,1,1719,-154,-0.18,60.5,0.07,-164.5,-0.19,363.5,0.73
6,Entry long,2011-01-12 11:30,Long,1719,1,1719,-154,-0.18,60.5,0.07,-164.5,-0.19,363.5,0.73
7,Exit long,2011-02-01 16:50,EOD Exit,1738.25,1,1735.25,146,0.17,373,0.43,-14.5,-0.02,509.5,1.02
7,Entry long,2011-02-01 11:30,Long,1735.25,1,1735.25,146,0.17,373,0.43,-14.5,-0.02,509.5,1.02
8,Exit long,2011-03-02 11:40,Close entry(s) order Long,1742.5,1,1745.5,-154,-0.18,35.5,0.04,-152,-0.17,355.5,0.71
