Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,1999-08-17,EMA/Timeout,5674,1,5662.5,-238,-0.21,466,0.41,-1024,-0.90,-238,-0.48
1,Entry short,1999-08-15,B_Short,5662.5,1,5662.5,-238,-0.21,466,0.41,-1024,-0.90,-238,-0.48
2,Exit short,1999-08-26,ATR-Trail,5755.5,1,5820,1282,1.10,1406,1.21,-154,-0.13,1044,2.09
2,Entry short,1999-08-24,B_Short,5820,1,5820,1282,1.10,1406,1.21,-154,-0.13,1044,2.09
3,Exit short,1999-09-07,EMA/Timeout,5819.5,1,5862.5,852,0.73,1126,0.96,-374,-0.32,1896,3.79
3,Entry short,1999-09-02,B_Short,5862.5,1,5862.5,852,0.73,1126,0.96,-374,-0.32,1896,3.79
4,Exit long,1999-09-19,Close entry(s) order A_LongDip,5889.5,1,5846,862,0.74,1236,1.06,-1674,-1.43,2758,5.52
4,Entry long,1999-09-12,A_LongDip,5846,1,5846,862,0.74,1236,1.06,-1674,-1.43,2758,5.52
5,Exit long,1999-09-27,Close entry(s) order A_LongDip,5782.5,1,5830.5,-968,-0.83,1126,0.97,-2714,-2.33,1790,3.58
5,Entry long,1999-09-20,A_LongDip,5830.5,1,5830.5,-968,-0.83,1126,0.97,-2714,-2.33,1790,3.58
6,Exit long,1999-10-05,Close entry(s) order A_LongDip,5875,1,5737.5,2742,2.39,2826,2.46,-764,-0.67,4532,9.06
6,Entry long,1999-09-28,A_LongDip,5737.5,1,5737.5,2742,2.39,2826,2.46,-764,-0.67,4532,9.06
7,Exit long,1999-10-14,Close entry(s) order A_LongDip,5735.5,1,5876.5,-2828,-2.41,0,0.00,-3034,-2.58,1704,3.41
7,Entry long,1999-10-11,A_LongDip,5876.5,1,5876.5,-2828,-2.41,0,0.00,-3034,-2.58,1704,3.41
8,Exit long,1999-11-01,Close entry(s) order A_LongDip,5962.5,1,5796.5,3312,2.86,4156,3.58,-774,-0.67,5016,10.03
8,Entry long,1999-10-25,A_LongDip,5796.5,1,5796.5,3312,2.86,4156,3.58,-774,-0.67,5016,10.03
9,Exit short,1999-11-08,EMA/Timeout,6105.5,1,6103.5,-48,-0.04,856,0.70,-1284,-1.05,4968,9.94
9,Entry short,1999-11-04,B_Short,6103.5,1,6103.5,-48,-0.04,856,0.70,-1284,-1.05,4968,9.94
10,Exit short,1999-11-17,EMA/Timeout,6338.5,1,6295.5,-868,-0.69,1106,0.88,-914,-0.73,4100,8.20
10,Entry short,1999-11-15,B_Short,6295.5,1,6295.5,-868,-0.69,1106,0.88,-914,-0.73,4100,8.20
11,Exit long,1999-11-30,Close entry(s) order A_LongDip,6333,1,6333.5,-18,-0.01,3026,2.39,-1044,-0.82,4082,8.16
11,Entry long,1999-11-22,A_LongDip,6333.5,1,6333.5,-18,-0.01,3026,2.39,-1044,-0.82,4082,8.16
12,Exit short,1999-12-07,EMA/Timeout,6486,1,6522.5,722,0.55,846,0.65,-514,-0.39,4804,9.61
12,Entry short,1999-12-05,B_Short,6522.5,1,6522.5,722,0.55,846,0.65,-514,-0.39,4804,9.61
13,Exit long,1999-12-20,Close entry(s) order A_LongDip,6868,1,6501.5,7322,5.63,7446,5.73,-1124,-0.86,12126,24.25
13,Entry long,1999-12-13,A_LongDip,6501.5,1,6501.5,7322,5.63,7446,5.73,-1124,-0.86,12126,24.25
14,Exit short,1999-12-26,EMA/Timeout,6918,1,6894.5,-478,-0.35,1036,0.75,-1284,-0.93,11648,23.30
14,Entry short,1999-12-21,B_Short,6894.5,1,6894.5,-478,-0.35,1036,0.75,-1284,-0.93,11648,23.30
15,Exit short,2000-01-03,ATR-Trail,6836.5,1,7113.5,5532,3.89,6236,4.38,-114,-0.08,17180,34.36
15,Entry short,2000-01-02,B_Short,7113.5,1,7113.5,5532,3.89,6236,4.38,-114,-0.08,17180,34.36
