Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2010-10-19 09:55,X_S,4767.25,1,4760.25,-148,-0.16,1,0.00,-164,-0.17,-148,-0.30
1,Entry short,2010-10-19 09:50,FL_S,4760.25,1,4760.25,-148,-0.16,1,0.00,-164,-0.17,-148,-0.30
2,Exit long,2010-10-21 11:10,X_L,4804.5,1,4810.5,-128,-0.13,36,0.04,-124,-0.13,-276,-0.55
2,Entry long,2010-10-21 10:05,FL_L,4810.5,1,4810.5,-128,-0.13,36,0.04,-124,-0.13,-276,-0.55
3,Exit long,2010-10-25 10:30,X_L,4826.5,1,4831.5,-108,-0.11,36,0.04,-104,-0.11,-384,-0.77
3,Entry long,2010-10-25 09:55,FL_L,4831.5,1,4831.5,-108,-0.11,36,0.04,-104,-0.11,-384,-0.77
4,Exit short,2010-10-27 14:00,X_S,4823,1,4817.25,-123,-0.13,136,0.14,-119,-0.12,-507,-1.01
4,Entry short,2010-10-27 10:20,FL_S,4817.25,1,4817.25,-123,-0.13,136,0.14,-119,-0.12,-507,-1.01
5,Exit long,2010-11-01 10:10,X_L,4849.5,1,4854.25,-103,-0.11,1,0.00,-99,-0.10,-610,-1.22
5,Entry long,2010-11-01 10:00,FL_L,4854.25,1,4854.25,-103,-0.11,1,0.00,-99,-0.10,-610,-1.22
6,Exit long,2010-11-02 15:45,EOD Flatten,4855.5,1,4858.25,-63,-0.06,66,0.07,-89,-0.09,-673,-1.35
6,Entry long,2010-11-02 13:00,FL_L,4858.25,1,4858.25,-63,-0.06,66,0.07,-89,-0.09,-673,-1.35
7,Exit long,2010-11-04 11:25,X_L,4891.5,1,4896.5,-108,-0.11,46,0.05,-104,-0.11,-781,-1.56
7,Entry long,2010-11-04 10:55,FL_L,4896.5,1,4896.5,-108,-0.11,46,0.05,-104,-0.11,-781,-1.56
8,Exit long,2010-11-09 11:05,X_L,4897.25,1,4901.75,-98,-0.10,81,0.08,-94,-0.10,-879,-1.76
8,Entry long,2010-11-09 10:15,FL_L,4901.75,1,4901.75,-98,-0.10,81,0.08,-94,-0.10,-879,-1.76
9,Exit short,2010-11-12 12:15,X_S,4845,1,4865,392,0.40,396,0.41,-19,-0.02,-487,-0.97
9,Entry short,2010-11-12 10:30,FL_S,4865,1,4865,392,0.40,396,0.41,-19,-0.02,-487,-0.97
10,Exit short,2010-11-16 11:15,X_S,4797.5,1,4817,382,0.40,386,0.40,-29,-0.03,-105,-0.21
10,Entry short,2010-11-16 10:30,FL_S,4817,1,4817,382,0.40,386,0.40,-29,-0.03,-105,-0.21
11,Exit long,2010-11-18 15:45,EOD Flatten,4841.25,1,4843.5,-53,-0.05,221,0.23,-69,-0.07,-158,-0.32
11,Entry long,2010-11-18 10:05,FL_L,4843.5,1,4843.5,-53,-0.05,221,0.23,-69,-0.07,-158,-0.32
12,Exit short,2010-11-22 13:30,X_S,4838.5,1,4832.75,-123,-0.13,76,0.08,-119,-0.12,-281,-0.56
12,Entry short,2010-11-22 12:40,FL_S,4832.75,1,4832.75,-123,-0.13,76,0.08,-119,-0.12,-281,-0.56
13,Exit short,2010-11-23 15:45,EOD Flatten,4822,1,4828.5,122,0.13,311,0.32,-104,-0.11,-159,-0.32
13,Entry short,2010-11-23 09:50,FL_S,4828.5,1,4828.5,122,0.13,311,0.32,-104,-0.11,-159,-0.32
14,Exit long,2010-11-24 15:45,EOD Flatten,4864.75,1,4861.5,57,0.06,236,0.24,-14,-0.01,-102,-0.20
14,Entry long,2010-11-24 10:15,FL_L,4861.5,1,4861.5,57,0.06,236,0.24,-14,-0.01,-102,-0.20
15,Exit short,2010-11-28 18:00,X_S,4858.75,1,4853.5,-113,-0.12,46,0.05,-109,-0.11,-215,-0.43
15,Entry short,2010-11-26 13:05,FL_S,4853.5,1,4853.5,-113,-0.12,46,0.05,-109,-0.11,-215,-0.43
16,Exit long,2010-12-01 10:10,X_L,4867.75,1,4874.25,-138,-0.14,21,0.02,-134,-0.14,-353,-0.71
16,Entry long,2010-12-01 09:55,FL_L,4874.25,1,4874.25,-138,-0.14,21,0.02,-134,-0.14,-353,-0.71
17,Exit long,2010-12-21 15:45,EOD Flatten,4941.25,1,4942.75,-38,-0.04,21,0.02,-44,-0.04,-391,-0.78
