Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2010-10-21 11:10,Close entry(s) order Long,4805,1,4807,-46.2,-0.05,106.9,0.11,-128.1,-0.13,-46.2,-0.05
1,Entry long,2010-10-21 09:40,Long,4807,1,4807,-46.2,-0.05,106.9,0.11,-128.1,-0.13,-46.2,-0.05
2,Exit long,2010-10-24 18:00,Close entry(s) order Long,4812.5,1,4803,183.8,0.19,256.9,0.27,-168.1,-0.17,137.6,0.14
2,Entry long,2010-10-22 09:40,Long,4803,1,4803,183.8,0.19,256.9,0.27,-168.1,-0.17,137.6,0.14
3,Exit long,2010-10-25 10:35,Close entry(s) order Long,4825,1,4829.25,-91.2,-0.09,81.9,0.08,-113.1,-0.12,46.4,0.05
3,Entry long,2010-10-25 09:40,Long,4829.25,1,4829.25,-91.2,-0.09,81.9,0.08,-113.1,-0.12,46.4,0.05
4,Exit long,2010-10-29 10:35,Close entry(s) order Long,4836.25,1,4842.25,-126.2,-0.13,21.9,0.02,-153.1,-0.16,-79.8,-0.08
4,Entry long,2010-10-29 09:40,Long,4842.25,1,4842.25,-126.2,-0.13,21.9,0.02,-153.1,-0.16,-79.8,-0.08
5,Exit long,2010-11-02 10:10,Close entry(s) order Long,4850,1,4855.75,-121.2,-0.12,51.9,0.05,-128.1,-0.13,-201,-0.20
5,Entry long,2010-11-02 09:40,Long,4855.75,1,4855.75,-121.2,-0.12,51.9,0.05,-128.1,-0.13,-201,-0.20
6,Exit long,2010-11-04 10:00,Close entry(s) order Long,4885.75,1,4893,-151.2,-0.15,21.9,0.02,-158.1,-0.16,-352.2,-0.35
6,Entry long,2010-11-04 09:40,Long,4893,1,4893,-151.2,-0.15,21.9,0.02,-158.1,-0.16,-352.2,-0.35
7,Exit long,2010-11-15 09:45,Close entry(s) order Long,4849,1,4856.25,-151.2,-0.16,0,0.00,-158.1,-0.16,-503.4,-0.50
7,Entry long,2010-11-15 09:40,Long,4856.25,1,4856.25,-151.2,-0.16,0,0.00,-158.1,-0.16,-503.4,-0.50
8,Exit long,2010-11-18 15:35,Close entry(s) order Long,4841.5,1,4834.5,133.8,0.14,401.9,0.42,-33.1,-0.03,-369.6,-0.37
8,Entry long,2010-11-18 09:40,Long,4834.5,1,4834.5,133.8,0.14,401.9,0.42,-33.1,-0.03,-369.6,-0.37
9,Exit long,2010-11-24 16:45,EOD Exit,4864.5,1,4854,203.8,0.21,386.9,0.40,-43.1,-0.04,-165.8,-0.17
9,Entry long,2010-11-24 09:40,Long,4854,1,4854,203.8,0.21,386.9,0.40,-43.1,-0.04,-165.8,-0.17
10,Exit long,2010-12-01 16:00,Close entry(s) order Long,4867.5,1,4870,-56.2,-0.06,236.9,0.24,-68.1,-0.07,-222,-0.22
10,Entry long,2010-12-01 09:40,Long,4870,1,4870,-56.2,-0.06,236.9,0.24,-68.1,-0.07,-222,-0.22
11,Exit long,2010-12-02 16:45,EOD Exit,4894.75,1,4880.25,283.8,0.29,326.9,0.33,-88.1,-0.09,61.8,0.06
