Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2004-06-07,Exit ATR,12336,1,12042,1466,2.43,1473,2.45,-202,-0.34,1466,1.47
1,Entry long,2004-05-24,Long,12042,1,12042,1466,2.43,1473,2.45,-202,-0.34,1466,1.47
2,Exit long,2004-06-27,Close entry(s) order Long,12272,1,12355,-419,-0.68,328,0.53,-597,-0.97,1047,1.05
2,Entry long,2004-06-07,Long,12355,1,12355,-419,-0.68,328,0.53,-597,-0.97,1047,1.05
3,Exit long,2004-09-13,Close entry(s) order Long,12271,1,12053,1086,1.80,1263,2.10,-247,-0.41,2133,2.13
3,Entry long,2004-08-19,Long,12053,1,12053,1086,1.80,1263,2.10,-247,-0.41,2133,2.13
4,Exit long,2008-02-05,Exit ATR,13264,1,13671,-2039,-2.98,828,1.21,-2037,-2.98,94,0.09
4,Entry long,2008-01-30,Long,13671,1,13671,-2039,-2.98,828,1.21,-2037,-2.98,94,0.09
5,Exit long,2008-02-28,Close entry(s) order Long,13361,1,13623,-1314,-1.93,973,1.43,-1697,-2.49,-1220,-1.22
5,Entry long,2008-02-24,Long,13623,1,13623,-1314,-1.93,973,1.43,-1697,-2.49,-1220,-1.22
6,Exit long,2008-04-03,Exit ATR,13810,1,13458,1756,2.61,1763,2.62,-1802,-2.68,536,0.54
6,Entry long,2008-03-17,Long,13458,1,13458,1756,2.61,1763,2.62,-1802,-2.68,536,0.54
7,Exit long,2008-04-29,Exit ATR,14059,1,13707,1756,2.56,1763,2.57,-467,-0.68,2292,2.29
7,Entry long,2008-04-15,Long,13707,1,13707,1756,2.56,1763,2.57,-467,-0.68,2292,2.29
8,Exit long,2008-05-08,Close entry(s) order Long,13795,1,14054,-1299,-1.85,653,0.93,-1487,-2.12,993,0.99
8,Entry long,2008-04-30,Long,14054,1,14054,-1299,-1.85,653,0.93,-1487,-2.12,993,0.99
9,Exit long,2008-08-10,Exit ATR,12821,1,12452,1841,2.96,1848,2.97,-1507,-2.42,2834,2.83
9,Entry long,2008-07-16,Long,12452,1,12452,1841,2.96,1848,2.97,-1507,-2.42,2834,2.83
10,Exit long,2008-08-18,Close entry(s) order Long,12405,1,12820,-2079,-3.24,68,0.11,-2292,-3.58,755,0.76
10,Entry long,2008-08-10,Long,12820,1,12820,-2079,-3.24,68,0.11,-2292,-3.58,755,0.76
11,Exit long,2008-09-03,Exit ATR,12279,1,12746,-2339,-3.67,483,0.76,-2337,-3.67,-1584,-1.58
11,Entry long,2008-08-27,Long,12746,1,12746,-2339,-3.67,483,0.76,-2337,-3.67,-1584,-1.58
12,Exit long,2008-11-05,Exit ATR,9774,1,10390,-3084,-5.94,1508,2.90,-3082,-5.93,-4668,-4.67
12,Entry long,2008-11-02,Long,10390,1,10390,-3084,-5.94,1508,2.90,-3082,-5.93,-4668,-4.67
13,Exit long,2008-12-18,Close entry(s) order Long,9612,1,9933,-1609,-3.24,433,0.87,-3222,-6.49,-6277,-6.28
13,Entry long,2008-12-07,Long,9933,1,9933,-1609,-3.24,433,0.87,-3222,-6.49,-6277,-6.28
14,Exit long,2009-01-11,Close entry(s) order Long,9523,1,10039,-2584,-5.15,443,0.88,-2947,-5.87,-8861,-8.86
