Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2010-10-20 12:00,X_L,12566,2,25032,488,0.39,494,0.39,-86,-0.07,488,0.98
1,Entry long,2010-10-20 10:30,FL_L,12516,2,25032,488,0.39,494,0.39,-86,-0.07,488,0.98
2,Exit long,2010-10-21 11:10,X_L,12636,2,25306,-182,-0.14,84,0.07,-176,-0.14,306,0.61
2,Entry long,2010-10-21 10:05,FL_L,12653,2,25306,-182,-0.14,84,0.07,-176,-0.14,306,0.61
3,Exit long,2010-10-25 10:35,X_L,12654,2,25338,-162,-0.13,284,0.22,-156,-0.12,144,0.29
3,Entry long,2010-10-25 09:50,FL_L,12669,2,25338,-162,-0.13,284,0.22,-156,-0.12,144,0.29
4,Exit short,2010-10-27 11:05,X_S,12469,2,25028,438,0.35,444,0.35,-86,-0.07,582,1.16
4,Entry short,2010-10-27 10:20,FL_S,12514,2,25028,438,0.35,444,0.35,-86,-0.07,582,1.16
5,Exit long,2010-11-01 10:20,X_L,12671,2,25372,-162,-0.13,74,0.06,-156,-0.12,420,0.84
5,Entry long,2010-11-01 10:00,FL_L,12686,2,25372,-162,-0.13,74,0.06,-156,-0.12,420,0.84
6,Exit long,2010-11-04 10:00,X_L,12794,2,25616,-152,-0.12,54,0.04,-146,-0.11,268,0.54
6,Entry long,2010-11-04 09:50,FL_L,12808,2,25616,-152,-0.12,54,0.04,-146,-0.11,268,0.54
7,Exit long,2010-11-08 11:00,X_L,12825,2,25692,-222,-0.17,74,0.06,-216,-0.17,46,0.09
7,Entry long,2010-11-08 10:15,FD_L,12846,2,25692,-222,-0.17,74,0.06,-216,-0.17,46,0.09
8,Exit short,2010-11-12 12:20,X_S,12620,2,25352,548,0.43,554,0.44,-136,-0.11,594,1.19
8,Entry short,2010-11-12 10:35,FL_S,12676,2,25352,548,0.43,554,0.44,-136,-0.11,594,1.19
9,Exit long,2010-11-16 10:20,X_L,12570,2,25192,-272,-0.22,14,0.01,-266,-0.21,322,0.64
9,Entry long,2010-11-16 10:10,FD_L,12596,2,25192,-272,-0.22,14,0.01,-266,-0.21,322,0.64
10,Exit short,2010-11-18 10:00,X_S,12632,2,25204,-312,-0.25,0,0.00,-436,-0.35,10,0.02
10,Entry short,2010-11-18 09:55,FD_S,12602,2,25204,-312,-0.25,0,0.00,-436,-0.35,10,0.02
11,Exit short,2010-11-22 10:50,X_S,12603,2,25176,-162,-0.13,144,0.11,-156,-0.12,-152,-0.30
11,Entry short,2010-11-22 10:30,FL_S,12588,2,25176,-162,-0.13,144,0.11,-156,-0.12,-152,-0.30
12,Exit short,2010-11-23 10:40,X_S,12529,2,25022,-192,-0.15,244,0.20,-186,-0.15,-344,-0.69
12,Entry short,2010-11-23 09:50,FL_S,12511,2,25022,-192,-0.15,244,0.20,-186,-0.15,-344,-0.69
13,Exit long,2010-11-24 10:00,X_L,12600,2,25236,-192,-0.15,94,0.07,-186,-0.15,-536,-1.07
13,Entry long,2010-11-24 09:50,FL_L,12618,2,25236,-192,-0.15,94,0.07,-186,-0.15,-536,-1.07
14,Exit short,2010-11-28 18:00,X_S,12562,2,25092,-172,-0.14,184,0.15,-166,-0.13,-708,-1.42
14,Entry short,2010-11-26 13:00,FL_S,12546,2,25092,-172,-0.14,184,0.15,-166,-0.13,-708,-1.42
15,Exit short,2010-11-29 10:00,X_S,12416,2,24930,478,0.38,484,0.39,-26,-0.02,-230,-0.46
15,Entry short,2010-11-29 09:50,FL_S,12465,2,24930,478,0.38,484,0.39,-26,-0.02,-230,-0.46
16,Exit long,2010-12-01 10:05,X_L,12684,2,25406,-202,-0.16,104,0.08,-196,-0.15,-432,-0.86
16,Entry long,2010-12-01 09:55,FL_L,12703,2,25406,-202,-0.16,104,0.08,-196,-0.15,-432,-0.86
17,Exit long,2010-12-05 18:10,X_L,12881,2,25670,448,0.35,454,0.35,-216,-0.17,16,0.03
17,Entry long,2010-12-03 10:15,FD_L,12835,2,25670,448,0.35,454,0.35,-216,-0.17,16,0.03
18,Exit short,2010-12-13 10:05,X_S,12935,2,25836,-182,-0.14,0,0.00,-196,-0.15,-166,-0.33
18,Entry short,2010-12-13 09:55,FD_S,12918,2,25836,-182,-0.14,0,0.00,-196,-0.15,-166,-0.33
19,Exit long,2010-12-21 16:45,EOD Flatten,13026,2,26048,8,0.01,234,0.18,-86,-0.07,-158,-0.32
19,Entry long,2010-12-21 10:20,FL_L,13024,2,26048,8,0.01,234,0.18,-86,-0.07,-158,-0.32
20,Exit long,2010-12-27 14:10,X_L,13057,2,26068,218,0.17,224,0.17,-46,-0.04,60,0.12
20,Entry long,2010-12-27 10:10,FD_L,13034,2,26068,218,0.17,224,0.17,-46,-0.04,60,0.12
21,Exit long,2010-12-28 16:10,X_L,13067,2,26152,-102,-0.08,134,0.10,-96,-0.07,-42,-0.08
21,Entry long,2010-12-28 13:35,FL_L,13076,2,26152,-102,-0.08,134,0.10,-96,-0.07,-42,-0.08
22,Exit long,2011-01-03 11:10,X_L,13191,2,26402,-112,-0.08,24,0.02,-106,-0.08,-154,-0.31
22,Entry long,2011-01-03 10:50,FL_L,13201,2,26402,-112,-0.08,24,0.02,-106,-0.08,-154,-0.31
23,Exit short,2011-01-10 10:30,X_S,13121,2,26214,-152,-0.12,254,0.19,-146,-0.11,-306,-0.61
23,Entry short,2011-01-10 09:50,FL_S,13107,2,26214,-152,-0.12,254,0.19,-146,-0.11,-306,-0.61
24,Exit long,2011-01-11 11:35,X_L,13199,2,26424,-142,-0.11,4,0.00,-136,-0.10,-448,-0.90
